,SPY,EFA,EEM,TLT,LQD
2004-08-02,78.134727,27.260429,12.202176,47.98468,53.29237
2004-08-03,77.529716,27.082054,12.216347,48.178062,53.233528
2004-08-04,77.522675,27.078093,12.228162,48.200829,53.37569
2004-08-05,76.256432,26.675777,12.149416,48.337307,53.47374
2004-08-06,75.166084,26.636145,12.061232,49.150646,53.954056
2004-08-09,75.271591,26.606405,12.162021,48.980019,53.963867
2004-08-10,76.242371,26.824423,12.299023,48.803696,53.787399
2004-08-11,76.087601,26.735229,12.184853,49.014137,53.748226
2004-08-12,75.257523,26.437948,12.048633,49.116482,53.821739
2004-08-13,75.405228,26.596506,12.067533,49.275757,54.037395
2004-08-16,76.186127,26.864054,12.232093,49.105133,53.983448
2004-08-17,76.615227,26.883865,12.313984,49.383831,54.277569
2004-08-18,77.403091,27.088003,12.459649,49.144955,54.120705
2004-08-19,77.177986,27.024582,12.473036,49.26437,54.311897
2004-08-20,77.719673,27.151419,12.53524,49.218914,54.115837
2004-08-23,77.522675,26.931433,12.602955,48.934494,54.012897
2004-08-24,77.628212,26.925491,12.566737,48.962959,53.963867
2004-08-25,78.155838,27.210878,12.716339,49.133579,54.218777
2004-08-26,78.155838,27.230701,12.733661,49.412262,54.253075
2004-08-27,78.402023,27.300064,12.710041,49.378147,54.380547
2004-08-30,77.754868,27.200968,12.641537,49.611313,54.591206
2004-08-31,78.162865,27.454638,12.696656,49.918434,54.821644
2004-09-01,78.310593,27.478422,12.801375,49.969814,54.716812
2004-09-02,79.196976,27.765791,12.96043,49.478733,54.485538
2004-09-03,78.873375,27.397173,12.822634,49.484467,54.057449
2004-09-07,79.393951,27.779671,12.92106,49.433029,54.362503
2004-09-08,79.196976,27.765791,12.913189,49.849907,54.5938
2004-09-09,79.126633,27.676613,12.952559,49.661461,54.706978
2004-09-10,79.534645,27.884708,13.07539,49.735699,54.677471
2004-09-13,79.794914,27.983805,13.195071,49.952698,54.864407
2004-09-14,79.956726,28.053171,13.190346,50.004124,54.879158
2004-09-15,79.351723,27.650848,13.13208,49.889877,54.879158
2004-09-16,79.590904,27.833179,13.296642,50.455204,55.194122
2004-09-17,79.929237,27.924339,13.385621,50.203964,54.987419
2004-09-20,79.448929,27.74995,13.399007,50.535145,55.287605
2004-09-21,79.795059,28.183975,13.539163,50.683563,55.307274
2004-09-22,78.799026,27.72616,13.334439,51.2089,55.50412
2004-09-23,78.375214,27.650848,13.393496,51.003395,55.282681
2004-09-24,78.735474,27.686525,13.355703,51.066193,55.263
2004-09-27,78.233917,27.547791,13.276175,51.288876,55.454887
2004-09-28,78.608315,27.817331,13.440734,51.083298,55.415501
2004-09-29,79.003899,27.924339,13.511606,50.586475,55.154701
2004-09-30,78.94738,28.023436,13.582471,50.392384,54.992329
2004-10-01,80.282478,28.459442,13.842304,50.140663,54.748844
2004-10-04,80.416695,28.503046,14.07852,50.215176,54.714302
2004-10-05,80.459114,28.518904,13.974586,50.215176,54.941517
2004-10-06,81.010101,28.625925,14.136001,49.98587,54.783432
2004-10-07,80.141197,28.429718,14.015533,49.767971,54.66489
2004-10-08,79.477196,28.627901,13.91317,50.427349,55.198318
2004-10-11,79.802116,28.697266,13.985607,50.478958,55.247723
2004-10-12,79.49131,28.370262,13.765143,50.593605,55.277367
2004-10-13,78.791954,28.172079,13.578531,50.777054,55.489777
2004-10-14,78.156189,28.023436,13.393496,51.017899,55.716969
2004-10-15,78.594193,28.342514,13.572229,50.840164,55.470005
2004-10-18,78.890877,28.455484,13.716326,50.863094,55.563835
2004-10-19,78.226875,28.399992,13.650182,50.994999,55.553978
2004-10-20,78.071434,28.508999,13.56436,51.34473,55.73674
2004-10-21,78.580048,28.67548,13.759633,51.37915,55.687366
2004-10-22,77.697044,28.499094,13.661208,51.499519,55.642887
2004-10-25,77.605225,28.469355,13.698218,51.539658,55.766342
2004-10-26,78.791954,28.627901,13.747821,51.384865,55.707115
2004-10-27,79.738525,28.925179,13.984037,50.880302,55.371216
2004-10-28,79.978729,29.004459,13.91475,51.04657,55.465057
2004-10-29,79.964607,29.004459,13.969076,51.281624,55.642887
2004-11-01,80.183571,29.053999,14.073015,50.962727,55.410305
2004-11-02,80.211838,29.27993,14.105298,51.037552,55.494625
2004-11-03,81.222023,29.62676,14.3108,51.060574,55.38554
2004-11-04,82.331024,30.040977,14.527339,51.112385,55.623531
2004-11-05,82.84671,30.181673,14.582455,50.55394,55.38554
2004-11-08,82.726646,29.9716,14.417885,50.375477,55.152527
2004-11-09,82.564156,29.896297,14.510798,50.346695,55.162376
2004-11-10,82.627708,29.838829,14.527339,50.156723,55.112827
2004-11-11,83.256439,30.163843,14.692686,50.04734,55.117828
2004-11-12,83.913383,30.520576,14.940712,50.58849,55.395451
2004-11-15,84.119514,30.550306,14.954889,50.634548,55.415298
2004-11-16,83.517334,30.292665,14.784026,50.634548,55.38554
2004-11-17,84.013275,30.679121,15.117882,51.066383,55.692959
2004-11-18,84.126625,30.609755,15.145439,51.221775,55.782261
2004-11-19,83.191422,30.411573,14.928905,50.813061,55.48967
2004-11-22,83.588203,30.50075,14.987174,51.077877,55.464878
2004-11-23,83.715721,30.560217,15.013154,51.14119,55.534294
2004-11-24,83.91407,30.698942,15.172997,51.14119,55.529316
2004-11-26,83.850304,30.877321,15.424957,50.807293,55.330994
2004-11-29,83.467712,30.976402,15.33047,50.266094,54.894684
2004-11-30,83.524399,30.768312,15.35882,50.053074,54.964069
2004-12-01,84.473808,31.303408,15.476139,49.975014,54.931232
2004-12-02,84.544609,31.253864,15.4533,49.772686,54.757004
2004-12-03,84.487984,31.440159,15.523385,50.547333,55.065609
2004-12-06,84.459618,31.247917,15.501336,50.720722,55.219891
2004-12-07,83.673195,31.077484,15.263547,50.784325,55.349331
2004-12-08,84.162033,31.055683,15.183234,51.576305,55.538467
2004-12-09,84.459618,30.926853,14.935992,51.235222,55.667881
2004-12-10,84.544609,30.623636,14.921029,51.36245,55.692776
2004-12-13,85.281502,31.085409,15.147804,51.472263,55.802307
2004-12-14,85.579063,31.095316,15.287169,51.674599,55.827164
2004-12-15,85.642807,31.28359,15.498971,52.142799,56.125816
2004-12-16,85.593216,31.085409,15.421021,51.374001,55.64299
2004-12-17,85.022316,30.996218,15.385592,51.304592,55.702721
2004-12-20,85.043663,31.279629,15.586383,51.397121,55.662895
2004-12-21,85.69857,31.499611,15.735977,51.553196,55.687782
2004-12-22,85.905014,31.54718,15.73204,51.379765,55.747551
2004-12-23,85.969078,31.754248,15.839077,51.212097,55.847061
2004-12-27,85.791107,32.003761,15.827117,50.813248,55.548439
2004-12-28,86.260925,32.217075,15.909224,50.772766,55.608147
2004-12-29,86.389046,32.062126,15.996888,50.720722,55.523556
2004-12-30,86.225311,32.066151,15.956242,51.061806,55.722641
